event_id,event_type,event_time,recorded_at,source_document_id,source_system,snapshot_version
EV-RECV-001,RECEIPT,2026-09-07 07:10:00,2026-09-07 07:11:00,RECEIPT-001,WMS_RECEIPTS,1
EV-RECV-002,RECEIPT,2026-09-07 07:20:00,2026-09-07 07:21:00,RECEIPT-002,WMS_RECEIPTS,1
EV-RECV-003,RECEIPT,2026-09-07 07:30:00,2026-09-07 07:31:00,RECEIPT-003,WMS_RECEIPTS,1
EV-CONT-100,CONTAINER_SNAPSHOT,2026-09-07 08:05:00,2026-09-07 08:06:00,,WMS_CONTAINERS,1
EV-CONT-200,CONTAINER_SNAPSHOT,2026-09-07 08:10:00,2026-09-07 08:11:00,,WMS_CONTAINERS,1
EV-CONT-300,CONTAINER_SNAPSHOT,2026-09-07 08:15:00,2026-09-07 08:16:00,LABEL-C300,WMS_CONTAINERS,1
EV-DISP-100,DISPATCH,2026-09-07 09:30:00,2026-09-07 09:32:00,MANIFEST-100,ERP_DISPATCH,1
EV-DISP-200,DISPATCH,2026-09-07 10:00:00,2026-09-07 10:02:00,MANIFEST-200,ERP_DISPATCH,1
EV-DISP-300,DISPATCH,2026-09-07 10:30:00,2026-09-07 10:32:00,MANIFEST-300,ERP_DISPATCH,1
EV-DISP-400,DISPATCH,2026-09-07 11:00:00,2026-09-07 11:02:00,MANIFEST-400,ERP_DISPATCH,1
EV-DISP-500,DISPATCH,2026-09-07 11:30:00,2026-09-07 11:32:00,MANIFEST-500,ERP_DISPATCH,1
EV-DISP-600,DISPATCH,2026-09-07 12:00:00,2026-09-07 12:02:00,MANIFEST-600,ERP_DISPATCH,1
